Type,Date,Code_Departement,Commune,Area (ha),Cause,ID_new
Foret,2021-01-10,34,SAINT-PRIVAT,0.1519,Involontaire (particulier),1073
Foret,2021-01-12,34,SAINT-PONS-DE-MAUCHIENS,4.1812,Malveillance,1074
Foret,2021-01-13,6,PEILLE,0.5,Lignes Electriques,1075
Foret,2021-01-13,48,SAINTE-CROIX-VALLEE-FRANCAISE,0.2,Travaux (Particuliers),1076
Foret,2021-01-14,34,VENDRES,0.1867,Malveillance,1077
Foret,2021-01-14,34,POPIAN,1.5017,Malveillance,1078
Foret,2021-01-15,13,MARTIGUES,0.002,Malveillance,1082
Foret,2021-01-17,34,CRUZY,6.0755,Conflit,1086
Foret,2021-01-20,34,CESSENON-SUR-ORB,0.4416,Interet,1090
Foret,2021-01-25,84,PIOLENC,0.02,Travaux Forestiers,1093
Foret,2021-01-29,13,CARRY-LE-ROUET,0.0005,Jet D'Objets Incandescents,1096
Foret,2021-01-29,34,GALARGUES,1.0775,Malveillance,1104
Foret,2021-01-29,13,SAUSSET-LES-PINS,0.2,Jet D'Objets Incandescents,1107
Foret,2021-01-30,2B,PIANELLO,5.0,Malveillance,1108
Foret,2021-01-30,2B,OLETTA,1.5,Malveillance,1109
Foret,2021-01-30,2B,PENTA-DI-CASINCA,1.0,Malveillance,1110
Foret,2021-02-04,2B,BASTIA,1.0,Conflit,1112
Foret,2021-02-05,66,SALSES-LE-CHATEAU,0.2,Travaux Agricoles,1114
Foret,2021-02-05,2A,APPIETTO,0.076,Travaux Agricoles,1115
Foret,2021-02-05,83,PLAN-DE-LA-TOUR (LE),0.0004,Travaux Forestiers,1117
Foret,2021-02-06,66,PRATS-DE-MOLLO-LA-PRESTE,1.5,Travaux Agricoles,1118
Foret,2021-02-08,2A,LECCI,0.0005,Depot d'Ordures,1120
Foret,2021-02-17,5,SAVINES-LE-LAC,1.75,Travaux Agricoles,1122
Foret,2021-02-18,2A,BONIFACIO,0.002,Travaux (Particuliers),1125
Foret,2021-02-20,66,PEZILLA-LA-RIVIERE,0.5,Travaux Agricoles,1127
Foret,2021-02-20,6,BOLLENE-VESUBIE (LA),0.05,Interet,1128
Foret,2021-02-21,83,SAINT-MANDRIER-SUR-MER,0.65,Loisirs (Particuliers),1130
Foret,2021-02-21,4,DIGNE-LES-BAINS,0.74,Travaux (Particuliers),1131
Foret,2021-02-22,84,PERNES-LES-FONTAINES,0.02,Accidentelle,1133
Foret,2021-02-23,5,EMBRUN,0.01,Travaux Agricoles,1135
Foret,2021-02-23,2A,SALICE,0.0002,Depot d'Ordures,1136
Foret,2021-02-24,2A,LECCI,0.0001,Travaux Forestiers,1138
Foret,2021-02-25,2A,ALATA,0.006,Travaux (Particuliers),1139
Foret,2021-02-25,5,MOTTE-EN-CHAMPSAUR (LA),0.5,Depot d'Ordures,1140
Foret,2021-02-25,2B,SANTA-REPARATA-DI-MORIANI,4.0,Involontaire (travaux),1141
Foret,2021-02-25,4,CASTELLANE,1.16,Travaux Agricoles,1142
Foret,2021-02-26,2B,OLMI-CAPPELLA,6.5,Interet,1144
Foret,2021-02-27,2B,ALBERTACCE,3.0,Interet,1146
Foret,2021-02-28,6,CHATEAUNEUF-GRASSE,0.05,Jet D'Objets Incandescents,1147
Foret,2021-02-28,2B,OLCANI,2.0,Interet,1148
Foret,2021-02-28,4,JAVIE (LA),0.05,Travaux Industriels/Publics,1149
Foret,2021-02-28,5,MOTTE-EN-CHAMPSAUR (LA),0.025,Malveillance,1151
Foret,2021-03-01,48,ALTIER,3.0,Travaux Agricoles,1152
Foret,2021-03-01,4,THOARD,0.73,Travaux Forestiers,1153
Foret,2021-03-02,2B,VILLE-DI-PARASO,1.5,Malveillance,1154
Foret,2021-03-02,2B,SPELONCATO,1.0,Malveillance,1155
Foret,2021-03-02,2B,SISCO,3.0,Malveillance,1156
